date,equity_backtest,equity_paper,diff,ratio
2024-10-27,57789.07503417357,63950.21154678582,6161.136512612247,1.1066142088096904
2024-10-28,61502.60679523731,68060.78250833573,6558.175713098419,1.1066324836430554
2024-10-29,64427.94485697367,71118.54051335108,6690.595656377409,1.103846175308403
2024-10-30,64403.114629315154,70888.15690668438,6485.042277369226,1.1006945442731328
2024-10-31,60945.18255970312,67561.99985488315,6616.81729518003,1.108569980715015
2024-11-01,60009.78541048856,66616.65977467064,6606.8743641820765,1.1100966170598456
2024-11-02,60083.308737629995,66712.04174223357,6628.733004603579,1.1103256984988914
2024-11-03,57888.79232915062,64897.619280411265,7008.826951260642,1.1210739880598832
2024-11-04,59174.812381416414,67805.73319338317,8630.92081196676,1.1458546375497638
2024-11-05,61390.984565189225,72849.48196054198,11458.497395352751,1.186647884481887
2024-11-06,66375.01835486351,84192.56011404181,17817.541759178304,1.268437466396162
2024-11-07,67933.24239203814,84653.60142931789,16720.359037279748,1.2461292652688014
2024-11-08,71487.85459137827,88157.59722138049,16669.74263000222,1.2331828633728876
2024-11-09,75248.96455530431,91818.24255528844,16569.27799998413,1.2201927707298421
2024-11-10,83658.77302745999,102079.8760764346,18421.103048974604,1.220193320823963
2024-11-11,91471.43609626776,111528.84620879938,20057.410112531623,1.219275119846402
2024-11-12,89238.98536097512,109477.93636616944,20238.95100519432,1.2267949475593765
2024-11-13,89262.73570057546,110646.47501460256,21383.7393140271,1.2395595333954037
2024-11-14,88078.34610732424,109627.1261649666,21548.78005764236,1.2446546854023006
2024-11-15,96516.21509315446,120826.0728359732,24309.857742818742,1.2518733014898649
2024-11-16,101289.12491904468,128365.29188511356,27076.16696606888,1.2673156371694345
2024-11-17,97897.23068789935,125168.11934294616,27270.8886550468,1.2785664973709785
2024-11-18,100677.38640228008,128697.11211631216,28019.725714032073,1.2783120094325124
2024-11-19,100744.48334095009,128794.98883300427,28050.505492054188,1.2784321737709718
2024-11-20,101289.55691103112,129488.77815394572,28199.221242914602,1.2784020594312968
2024-11-21,108035.3686223892,138063.55704938775,30028.188426998546,1.2779477573863298
2024-11-22,122901.2230730844,157202.80419643,34301.58112334559,1.2790987775845633
2024-11-23,123718.62221594564,158372.43609264764,34653.813876702,1.2801018412265797
2024-11-24,122494.01094606046,157723.06270946277,35229.05176340231,1.2875981567696009
2024-11-25,117698.52766159367,150545.36750798262,32846.839846388946,1.2790760470753724
2024-11-26,117340.0549647451,150086.67291126182,32746.617946516722,1.2790745066239781
